"Year","GEO","Tenure","Statistics","UOM","VALUE"
2018,"Canada (provinces only)","Total, tenure","Number of households in core housing need","Number",1581000
2018,"Canada (provinces only)","Total, tenure","Low 95% confidence interval, number of households","Number",1523056
2018,"Canada (provinces only)","Total, tenure","High 95% confidence interval, number of households","Number",1634370
2018,"Canada (provinces only)","Total, tenure","Percentage of households in core housing need","Percent",11.3
2018,"Canada (provinces only)","Total, tenure","Low 95% confidence interval, percentage of households","Percent",10.9
2018,"Canada (provinces only)","Total, tenure","High 95% confidence interval, percentage of households","Percent",11.7
2018,"Canada (provinces only)","Total, tenure","Number of persons in core housing need","Number",2962300
2018,"Canada (provinces only)","Total, tenure","Low 95% confidence interval, number of persons","Number",2815643
2018,"Canada (provinces only)","Total, tenure","High 95% confidence interval, number of persons","Number",3111518
2018,"Canada (provinces only)","Total, tenure","Percentage of persons in core housing need","Percent",8.5
2018,"Canada (provinces only)","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",8.1
2018,"Canada (provinces only)","Total, tenure","High 95% confidence interval, percentage of persons","Percent",8.9
2018,"Canada (provinces only)","Owner","Number of households in core housing need","Number",591500
2018,"Canada (provinces only)","Owner","Low 95% confidence interval, number of households","Number",549923
2018,"Canada (provinces only)","Owner","High 95% confidence interval, number of households","Number",639685
2018,"Canada (provinces only)","Owner","Percentage of households in core housing need","Percent",6.1
2018,"Canada (provinces only)","Owner","Low 95% confidence interval, percentage of households","Percent",5.7
2018,"Canada (provinces only)","Owner","High 95% confidence interval, percentage of households","Percent",6.6
2018,"Canada (provinces only)","Owner","Number of persons in core housing need","Number",1260300
2018,"Canada (provinces only)","Owner","Low 95% confidence interval, number of persons","Number",1139568
2018,"Canada (provinces only)","Owner","High 95% confidence interval, number of persons","Number",1409880
2018,"Canada (provinces only)","Owner","Percentage of persons in core housing need","Percent",4.9
2018,"Canada (provinces only)","Owner","Low 95% confidence interval, percentage of persons","Percent",4.4
2018,"Canada (provinces only)","Owner","High 95% confidence interval, percentage of persons","Percent",5.4
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","Number of households in core housing need","Number",78900
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",61570
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",97858
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",6.4
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",5.1
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",8
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",222700
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",162618
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",286891
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",6.5
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",4.9
2018,"Canada (provinces only)","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",8.5
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",512600
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of households","Number",475630
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","High 95% confidence interval, number of households","Number",561115
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","Percentage of households in core housing need","Percent",6.1
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",5.6
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",6.6
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","Number of persons in core housing need","Number",1037600
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of persons","Number",929918
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","High 95% confidence interval, number of persons","Number",1177468
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","Percentage of persons in core housing need","Percent",4.6
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",4.1
2018,"Canada (provinces only)","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",5.2
2018,"Canada (provinces only)","Renter","Number of households in core housing need","Number",989500
2018,"Canada (provinces only)","Renter","Low 95% confidence interval, number of households","Number",944128
2018,"Canada (provinces only)","Renter","High 95% confidence interval, number of households","Number",1024929
2018,"Canada (provinces only)","Renter","Percentage of households in core housing need","Percent",22
2018,"Canada (provinces only)","Renter","Low 95% confidence interval, percentage of households","Percent",22
2018,"Canada (provinces only)","Renter","High 95% confidence interval, percentage of households","Percent",23
2018,"Canada (provinces only)","Renter","Number of persons in core housing need","Number",1702000
2018,"Canada (provinces only)","Renter","Low 95% confidence interval, number of persons","Number",1605906
2018,"Canada (provinces only)","Renter","High 95% confidence interval, number of persons","Number",1786039
2018,"Canada (provinces only)","Renter","Percentage of persons in core housing need","Percent",18.7
2018,"Canada (provinces only)","Renter","Low 95% confidence interval, percentage of persons","Percent",17.8
2018,"Canada (provinces only)","Renter","High 95% confidence interval, percentage of persons","Percent",19.7
2018,"Canada (provinces only)","Renter not in social and affordable housing","Number of households in core housing need","Number",803000
2018,"Canada (provinces only)","Renter not in social and affordable housing","Low 95% confidence interval, number of households","Number",775915
2018,"Canada (provinces only)","Renter not in social and affordable housing","High 95% confidence interval, number of households","Number",854875
2018,"Canada (provinces only)","Renter not in social and affordable housing","Percentage of households in core housing need","Percent",21
2018,"Canada (provinces only)","Renter not in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",20
2018,"Canada (provinces only)","Renter not in social and affordable housing","High 95% confidence interval, percentage of households","Percent",22
2018,"Canada (provinces only)","Renter not in social and affordable housing","Number of persons in core housing need","Number",1396000
2018,"Canada (provinces only)","Renter not in social and affordable housing","Low 95% confidence interval, number of persons","Number",1325041
2018,"Canada (provinces only)","Renter not in social and affordable housing","High 95% confidence interval, number of persons","Number",1504057
2018,"Canada (provinces only)","Renter not in social and affordable housing","Percentage of persons in core housing need","Percent",17.5
2018,"Canada (provinces only)","Renter not in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",16.4
2018,"Canada (provinces only)","Renter not in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",18.6
2018,"Canada (provinces only)","Renter in social and affordable housing","Number of households in core housing need","Number",186500
2018,"Canada (provinces only)","Renter in social and affordable housing","Low 95% confidence interval, number of households","Number",158628
2018,"Canada (provinces only)","Renter in social and affordable housing","High 95% confidence interval, number of households","Number",180963
2018,"Canada (provinces only)","Renter in social and affordable housing","Percentage of households in core housing need","Percent",32
2018,"Canada (provinces only)","Renter in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",30
2018,"Canada (provinces only)","Renter in social and affordable housing","High 95% confidence interval, percentage of households","Percent",34
2018,"Canada (provinces only)","Renter in social and affordable housing","Number of persons in core housing need","Number",306000
2018,"Canada (provinces only)","Renter in social and affordable housing","Low 95% confidence interval, number of persons","Number",253091
2018,"Canada (provinces only)","Renter in social and affordable housing","High 95% confidence interval, number of persons","Number",305223
2018,"Canada (provinces only)","Renter in social and affordable housing","Percentage of persons in core housing need","Percent",28
2018,"Canada (provinces only)","Renter in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",25
2018,"Canada (provinces only)","Renter in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",30
2018,"Newfoundland and Labrador","Total, tenure","Number of households in core housing need","Number",19500
2018,"Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, number of households","Number",16730
2018,"Newfoundland and Labrador","Total, tenure","High 95% confidence interval, number of households","Number",21893
2018,"Newfoundland and Labrador","Total, tenure","Percentage of households in core housing need","Percent",8.9
2018,"Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of households","Percent",7.8
2018,"Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of households","Percent",10.2
2018,"Newfoundland and Labrador","Total, tenure","Number of persons in core housing need","Number",30500
2018,"Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, number of persons","Number",26213
2018,"Newfoundland and Labrador","Total, tenure","High 95% confidence interval, number of persons","Number",34696
2018,"Newfoundland and Labrador","Total, tenure","Percentage of persons in core housing need","Percent",6
2018,"Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",5.2
2018,"Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of persons","Percent",6.9
2018,"Newfoundland and Labrador","Owner","Number of households in core housing need","Number",7600
2018,"Newfoundland and Labrador","Owner","Low 95% confidence interval, number of households","Number",5334
2018,"Newfoundland and Labrador","Owner","High 95% confidence interval, number of households","Number",9999
2018,"Newfoundland and Labrador","Owner","Percentage of households in core housing need","Percent",4.4
2018,"Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of households","Percent",3.2
2018,"Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of households","Percent",6
2018,"Newfoundland and Labrador","Owner","Number of persons in core housing need","Number",10500
2018,"Newfoundland and Labrador","Owner","Low 95% confidence interval, number of persons","Number",7361
2018,"Newfoundland and Labrador","Owner","High 95% confidence interval, number of persons","Number",13938
2018,"Newfoundland and Labrador","Owner","Percentage of persons in core housing need","Percent",2.5
2018,"Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of persons","Percent",1.8
2018,"Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of persons","Percent",3.4
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of households in core housing need","Number",200
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",7
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",610
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",NA
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",NA
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",NA
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",600
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",39
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",1816
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",1.4
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",0.3
2018,"Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",7
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",7400
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of households","Number",5118
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of households","Number",9865
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of households in core housing need","Percent",4.7
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",3.4
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",6.4
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of persons in core housing need","Number",9900
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of persons","Number",6852
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of persons","Number",13217
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of persons in core housing need","Percent",2.6
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",1.9
2018,"Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",3.6
2018,"Newfoundland and Labrador","Renter","Number of households in core housing need","Number",11900
2018,"Newfoundland and Labrador","Renter","Low 95% confidence interval, number of households","Number",10203
2018,"Newfoundland and Labrador","Renter","High 95% confidence interval, number of households","Number",13188
2018,"Newfoundland and Labrador","Renter","Percentage of households in core housing need","Percent",26
2018,"Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of households","Percent",23
2018,"Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of households","Percent",29
2018,"Newfoundland and Labrador","Renter","Number of persons in core housing need","Number",20000
2018,"Newfoundland and Labrador","Renter","Low 95% confidence interval, number of persons","Number",16830
2018,"Newfoundland and Labrador","Renter","High 95% confidence interval, number of persons","Number",22999
2018,"Newfoundland and Labrador","Renter","Percentage of persons in core housing need","Percent",22
2018,"Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of persons","Percent",19.1
2018,"Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of persons","Percent",25
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","Number of households in core housing need","Number",8300
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of households","Number",7261
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of households","Number",9928
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of households in core housing need","Percent",23
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",19.6
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of households","Percent",26
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","Number of persons in core housing need","Number",14300
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of persons","Number",11982
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of persons","Number",17917
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of persons in core housing need","Percent",19.5
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",16.1
2018,"Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",24
2018,"Newfoundland and Labrador","Renter in social and affordable housing","Number of households in core housing need","Number",3600
2018,"Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of households","Number",2564
2018,"Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of households","Number",3691
2018,"Newfoundland and Labrador","Renter in social and affordable housing","Percentage of households in core housing need","Percent",38
2018,"Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",33
2018,"Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of households","Percent",43
2018,"Newfoundland and Labrador","Renter in social and affordable housing","Number of persons in core housing need","Number",5700
2018,"Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of persons","Number",4031
2018,"Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of persons","Number",5996
2018,"Newfoundland and Labrador","Renter in social and affordable housing","Percentage of persons in core housing need","Percent",33
2018,"Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",28
2018,"Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",38
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","Number of households in core housing need","Number",7700
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, number of households","Number",6249
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, number of households","Number",8869
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","Percentage of households in core housing need","Percent",10.3
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of households","Percent",8.7
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of households","Percent",12.1
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","Number of persons in core housing need","Number",13100
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, number of persons","Number",10296
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, number of persons","Number",15378
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","Percentage of persons in core housing need","Percent",7.1
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",5.7
2018,"Large urban population centres, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of persons","Percent",8.7
2018,"Large urban population centres, Newfoundland and Labrador","Owner","Number of households in core housing need","Number",1900
2018,"Large urban population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of households","Number",1174
2018,"Large urban population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, number of households","Number",2682
2018,"Large urban population centres, Newfoundland and Labrador","Owner","Percentage of households in core housing need","Percent",3.6
2018,"Large urban population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of households","Percent",2.4
