"Year","Month","YearMonth","CoreFactor","CoreWeighted","CoreTrim","Geo","Products","Coordinate","CPI","MnthInf","AnnMnthInf","AnnInf"
2000,"01","2000-01",1.4,1.3,1.5,"Canada","All-items","2.2",93.5,NA,NA,NA
2000,"02","2000-02",1.8,1.4,1.6,"Canada","All-items","2.2",94.1,0.64,7.96,NA
2000,"03","2000-03",1.8,1.4,1.6,"Canada","All-items","2.2",94.8,0.74,9.25,NA
2000,"04","2000-04",1.5,1.3,1.5,"Canada","All-items","2.2",94.5,-0.32,-3.77,NA
2000,"05","2000-05",1.6,1.4,1.6,"Canada","All-items","2.2",94.9,0.42,5.16,NA
2000,"06","2000-06",1.6,1.6,1.8,"Canada","All-items","2.2",95.5,0.63,7.83,NA
2000,"07","2000-07",1.8,1.6,1.8,"Canada","All-items","2.2",95.8,0.31,3.78,NA
2000,"08","2000-08",1.9,1.7,1.9,"Canada","All-items","2.2",95.7,-0.1,-1.19,NA
2000,"09","2000-09",1.8,1.6,1.8,"Canada","All-items","2.2",96.1,0.42,5.16,NA
2000,"10","2000-10",1.8,1.7,1.9,"Canada","All-items","2.2",96.3,0.21,2.55,NA
2000,"11","2000-11",2,1.8,2,"Canada","All-items","2.2",96.6,0.31,3.78,NA
2000,"12","2000-12",2.1,1.9,2.1,"Canada","All-items","2.2",96.7,0.1,1.21,NA
2001,"01","2001-01",2.4,2,2.2,"Canada","All-items","2.2",96.3,-0.41,-4.81,2.99
2001,"02","2001-02",2.3,2.1,2.2,"Canada","All-items","2.2",96.8,0.52,6.42,2.87
2001,"03","2001-03",2.3,2.1,2.1,"Canada","All-items","2.2",97.1,0.31,3.78,2.43
2001,"04","2001-04",2.4,2.2,2.4,"Canada","All-items","2.2",97.8,0.72,8.99,3.49
2001,"05","2001-05",2.5,2.3,2.4,"Canada","All-items","2.2",98.6,0.82,10.3,3.9
2001,"06","2001-06",2.5,2.2,2.4,"Canada","All-items","2.2",98.7,0.1,1.21,3.35
2001,"07","2001-07",2.5,2.3,2.4,"Canada","All-items","2.2",98.4,-0.3,-3.54,2.71
2001,"08","2001-08",2.5,2.3,2.4,"Canada","All-items","2.2",98.4,0,0,2.82
2001,"09","2001-09",2.5,2.3,2.3,"Canada","All-items","2.2",98.6,0.2,2.43,2.6
2001,"10","2001-10",2.5,2.2,2.2,"Canada","All-items","2.2",98.1,-0.51,-5.95,1.87
2001,"11","2001-11",2.3,2,1.9,"Canada","All-items","2.2",97.2,-0.92,-10.5,0.62
2001,"12","2001-12",2.4,2,1.9,"Canada","All-items","2.2",97.4,0.21,2.55,0.72
2002,"01","2002-01",2.3,2.1,2,"Canada","All-items","2.2",97.6,0.21,2.55,1.35
2002,"02","2002-02",2.3,2,2,"Canada","All-items","2.2",98.2,0.61,7.57,1.45
2002,"03","2002-03",2.3,2,2,"Canada","All-items","2.2",98.9,0.71,8.86,1.85
2002,"04","2002-04",2.4,2,2.1,"Canada","All-items","2.2",99.5,0.61,7.57,1.74
2002,"05","2002-05",2.2,2,2,"Canada","All-items","2.2",99.7,0.2,2.43,1.12
2002,"06","2002-06",2.2,2.1,2,"Canada","All-items","2.2",99.9,0.2,2.43,1.22
2002,"07","2002-07",2.2,2,1.9,"Canada","All-items","2.2",100.5,0.6,7.44,2.13
2002,"08","2002-08",2.3,2.2,2.1,"Canada","All-items","2.2",100.9,0.4,4.91,2.54
2002,"09","2002-09",2.1,2.2,2.1,"Canada","All-items","2.2",100.9,0,0,2.33
2002,"10","2002-10",2,2.1,2.1,"Canada","All-items","2.2",101.2,0.3,3.66,3.16
2002,"11","2002-11",2.3,2.2,2.3,"Canada","All-items","2.2",101.5,0.3,3.66,4.42
2002,"12","2002-12",2.1,2.2,2.2,"Canada","All-items","2.2",101.1,-0.39,-4.58,3.8
