Year,GEO,EXP_type,VALUE
1988,British Columbia,Export to all countries,"17,405"
1989,British Columbia,Export to all countries,"17,775"
1990,British Columbia,Export to all countries,"16,607"
1991,British Columbia,Export to all countries,"15,253"
1992,British Columbia,Export to all countries,"16,336"
1993,British Columbia,Export to all countries,"19,034"
1994,British Columbia,Export to all countries,"22,856"
1995,British Columbia,Export to all countries,"26,874"
1996,British Columbia,Export to all countries,"25,717"
1997,British Columbia,Export to all countries,"26,699"
1998,British Columbia,Export to all countries,"25,942"
1999,British Columbia,Export to all countries,"29,044"
2000,British Columbia,Export to all countries,"33,640"
2001,British Columbia,Export to all countries,"31,680"
2002,British Columbia,Export to all countries,"28,828"
2003,British Columbia,Export to all countries,"28,265"
2004,British Columbia,Export to all countries,"31,008"
2005,British Columbia,Export to all countries,"34,167"
2006,British Columbia,Export to all countries,"33,466"
2007,British Columbia,Export to all countries,"31,524"
2008,British Columbia,Export to all countries,"33,124"
2009,British Columbia,Export to all countries,"25,240"
2010,British Columbia,Export to all countries,"28,646"
2011,British Columbia,Export to all countries,"32,671"
2012,British Columbia,Export to all countries,"31,484"
2013,British Columbia,Export to all countries,"33,421"
2014,British Columbia,Export to all countries,"35,832"
2015,British Columbia,Export to all countries,"35,497"
2016,British Columbia,Export to all countries,"38,423"
2017,British Columbia,Export to all countries,"43,241"
2018,British Columbia,Export to all countries,"46,280"
2019,British Columbia,Export to all countries,"43,348"
2020,British Columbia,Export to all countries,"39,604"
2021,British Columbia,Export to all countries,"53,936"
2022,British Columbia,Export to all countries,"64,947"
2023,British Columbia,Export to all countries,"56,456"
1988,Alberta,Export to all countries,"13,122"
1989,Alberta,Export to all countries,"13,524"
1990,Alberta,Export to all countries,"15,343"
1991,Alberta,Export to all countries,"16,087"
1992,Alberta,Export to all countries,"17,919"
1993,Alberta,Export to all countries,"19,772"
1994,Alberta,Export to all countries,"22,984"
1995,Alberta,Export to all countries,"26,944"
1996,Alberta,Export to all countries,"31,755"
1997,Alberta,Export to all countries,"33,559"
1998,Alberta,Export to all countries,"31,101"
1999,Alberta,Export to all countries,"34,717"
2000,Alberta,Export to all countries,"55,493"
2001,Alberta,Export to all countries,"57,061"
2002,Alberta,Export to all countries,"48,932"
2003,Alberta,Export to all countries,"57,113"
2004,Alberta,Export to all countries,"63,688"
2005,Alberta,Export to all countries,"76,280"
2006,Alberta,Export to all countries,"77,744"
2007,Alberta,Export to all countries,"81,559"
2008,Alberta,Export to all countries,"110,248"
2009,Alberta,Export to all countries,"69,846"
2010,Alberta,Export to all countries,"78,743"
2011,Alberta,Export to all countries,"93,217"
2012,Alberta,Export to all countries,"95,048"
2013,Alberta,Export to all countries,"103,014"
2014,Alberta,Export to all countries,"121,581"
2015,Alberta,Export to all countries,"92,429"
2016,Alberta,Export to all countries,"79,333"
2017,Alberta,Export to all countries,"100,493"
2018,Alberta,Export to all countries,"117,654"
2019,Alberta,Export to all countries,"117,202"
2020,Alberta,Export to all countries,"92,001"
2021,Alberta,Export to all countries,"138,071"
2022,Alberta,Export to all countries,"204,963"
2023,Alberta,Export to all countries,"175,052"
1988,Saskatchewan,Export to all countries,"5,770"
1989,Saskatchewan,Export to all countries,"4,488"
1990,Saskatchewan,Export to all countries,"5,329"
1991,Saskatchewan,Export to all countries,"5,691"
1992,Saskatchewan,Export to all countries,"6,585"
1993,Saskatchewan,Export to all countries,"6,069"
1994,Saskatchewan,Export to all countries,"7,539"
1995,Saskatchewan,Export to all countries,"8,862"
1996,Saskatchewan,Export to all countries,"9,315"
1997,Saskatchewan,Export to all countries,"10,806"
1998,Saskatchewan,Export to all countries,"9,924"
1999,Saskatchewan,Export to all countries,"9,763"
2000,Saskatchewan,Export to all countries,"12,562"
2001,Saskatchewan,Export to all countries,"11,657"
2002,Saskatchewan,Export to all countries,"11,165"
