Sector,GEO,Value,,,,,,,,,,,,,,,,,,
WOOD PRODUCTS,British Columbia,37.50%,,,,,,,,,,,,,,,,,,
PULP AND PAPER PRODUCTS,British Columbia,20.10%,,,,,,,,,,,,,,,,,,
AGRICULTURE AND FOOD OTHER THAN FISH,British Columbia,4.70%,,,,,,,,,,,,,,,,,,
FISH PRODUCTS,British Columbia,17.60%,,,,,,,,,,,,,,,,,,
METALLIC MINERAL PRODUCTS,British Columbia,17.90%,,,,,,,,,,,,,,,,,,
FABRICATED METAL PRODUCTS,British Columbia,5.20%,,,,,,,,,,,,,,,,,,
ENERGY PRODUCTS,British Columbia,10.30%,,,,,,,,,,,,,,,,,,
MACHINERY AND EQUIPMENT,British Columbia,3.90%,,,,,,,,,,,,,,,,,,
PLASTICS AND ARTICLES OF PLASTIC,British Columbia,4.40%,,,,,,,,,,,,,,,,,,
CHEMICALS AND CHEMICAL PRODUCTS,British Columbia,2.80%,,,,,,,,,,,,,,,,,,
APPAREL AND ACCESSORIES,British Columbia,4.90%,,,,,,,,,,,,,,,,,,
TEXTILES,British Columbia,5.50%,,,,,,,,,,,,,,,,,,
ALL OTHER COMMODITIES,British Columbia,3.00%,,,,,,,,,,,,,,,,,,
'GRAND TOTAL,British Columbia,7.90%,,,,,,,,,,,,,,,,,,
WOOD PRODUCTS,Alberta,10.30%,,,,,,,,,,,,,,,,,,
PULP AND PAPER PRODUCTS,Alberta,10.10%,,,,,,,,,,,,,,,,,,
AGRICULTURE AND FOOD OTHER THAN FISH,Alberta,19.40%,,,,,,,,,,,,,,,,,,
FISH PRODUCTS,Alberta,0.00%,,,,,,,,,,,,,,,,,,
METALLIC MINERAL PRODUCTS,Alberta,3.10%,,,,,,,,,,,,,,,,,,
FABRICATED METAL PRODUCTS,Alberta,4.40%,,,,,,,,,,,,,,,,,,
ENERGY PRODUCTS,Alberta,67.80%,,,,,,,,,,,,,,,,,,
MACHINERY AND EQUIPMENT,Alberta,4.10%,,,,,,,,,,,,,,,,,,
PLASTICS AND ARTICLES OF PLASTIC,Alberta,23.40%,,,,,,,,,,,,,,,,,,
CHEMICALS AND CHEMICAL PRODUCTS,Alberta,11.50%,,,,,,,,,,,,,,,,,,
APPAREL AND ACCESSORIES,Alberta,0.30%,,,,,,,,,,,,,,,,,,
TEXTILES,Alberta,1.60%,,,,,,,,,,,,,,,,,,
ALL OTHER COMMODITIES,Alberta,3.00%,,,,,,,,,,,,,,,,,,
'GRAND TOTAL,Alberta,24.60%,,,,,,,,,,,,,,,,,,
WOOD PRODUCTS,Saskatchewan,2.00%,,,,,,,,,,,,,,,,,,
PULP AND PAPER PRODUCTS,Saskatchewan,1.70%,,,,,,,,,,,,,,,,,,
AGRICULTURE AND FOOD OTHER THAN FISH,Saskatchewan,22.30%,,,,,,,,,,,,,,,,,,
FISH PRODUCTS,Saskatchewan,0.00%,,,,,,,,,,,,,,,,,,
METALLIC MINERAL PRODUCTS,Saskatchewan,0.40%,,,,,,,,,,,,,,,,,,
FABRICATED METAL PRODUCTS,Saskatchewan,1.50%,,,,,,,,,,,,,,,,,,
ENERGY PRODUCTS,Saskatchewan,6.40%,,,,,,,,,,,,,,,,,,
MACHINERY AND EQUIPMENT,Saskatchewan,0.80%,,,,,,,,,,,,,,,,,,
PLASTICS AND ARTICLES OF PLASTIC,Saskatchewan,0.30%,,,,,,,,,,,,,,,,,,
CHEMICALS AND CHEMICAL PRODUCTS,Saskatchewan,27.10%,,,,,,,,,,,,,,,,,,
APPAREL AND ACCESSORIES,Saskatchewan,0.20%,,,,,,,,,,,,,,,,,,
TEXTILES,Saskatchewan,0.10%,,,,,,,,,,,,,,,,,,
ALL OTHER COMMODITIES,Saskatchewan,0.30%,,,,,,,,,,,,,,,,,,
'GRAND TOTAL,Saskatchewan,6.90%,,,,,,,,,,,,,,,,,,
WOOD PRODUCTS,Manitoba,2.80%,,,,,,,,,,,,,,,,,,
PULP AND PAPER PRODUCTS,Manitoba,1.80%,,,,,,,,,,,,,,,,,,
AGRICULTURE AND FOOD OTHER THAN FISH,Manitoba,10.20%,,,,,,,,,,,,,,,,,,
FISH PRODUCTS,Manitoba,0.90%,,,,,,,,,,,,,,,,,,
METALLIC MINERAL PRODUCTS,Manitoba,0.60%,,,,,,,,,,,,,,,,,,
FABRICATED METAL PRODUCTS,Manitoba,1.80%,,,,,,,,,,,,,,,,,,
ENERGY PRODUCTS,Manitoba,0.90%,,,,,,,,,,,,,,,,,,
MACHINERY AND EQUIPMENT,Manitoba,2.50%,,,,,,,,,,,,,,,,,,
PLASTICS AND ARTICLES OF PLASTIC,Manitoba,3.20%,,,,,,,,,,,,,,,,,,
CHEMICALS AND CHEMICAL PRODUCTS,Manitoba,6.00%,,,,,,,,,,,,,,,,,,
APPAREL AND ACCESSORIES,Manitoba,3.70%,,,,,,,,,,,,,,,,,,
TEXTILES,Manitoba,1.60%,,,,,,,,,,,,,,,,,,
ALL OTHER COMMODITIES,Manitoba,1.00%,,,,,,,,,,,,,,,,,,
'GRAND TOTAL,Manitoba,3.00%,,,,,,,,,,,,,,,,,,
WOOD PRODUCTS,Ontario,17.10%,,,,,,,,,,,,,,,,,,
PULP AND PAPER PRODUCTS,Ontario,17.90%,,,,,,,,,,,,,,,,,,
AGRICULTURE AND FOOD OTHER THAN FISH,Ontario,28.30%,,,,,,,,,,,,,,,,,,
FISH PRODUCTS,Ontario,2.50%,,,,,,,,,,,,,,,,,,
METALLIC MINERAL PRODUCTS,Ontario,14.70%,,,,,,,,,,,,,,,,,,
FABRICATED METAL PRODUCTS,Ontario,59.10%,,,,,,,,,,,,,,,,,,
