"Year","GEO","Income_concept","UOM","VALUE"
1976,"Canada","Adjusted market income","Number",0.384
1976,"Canada","Adjusted total income","Number",0.33
1976,"Canada","Adjusted after-tax income","Number",0.3
1976,"Atlantic provinces","Adjusted market income","Number",0.408
1976,"Atlantic provinces","Adjusted total income","Number",0.31
1976,"Atlantic provinces","Adjusted after-tax income","Number",0.28
1976,"Newfoundland and Labrador","Adjusted market income","Number",0.454
1976,"Newfoundland and Labrador","Adjusted total income","Number",0.337
1976,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.308
1976,"Prince Edward Island","Adjusted market income","Number",0.445
1976,"Prince Edward Island","Adjusted total income","Number",0.345
1976,"Prince Edward Island","Adjusted after-tax income","Number",0.314
1976,"Nova Scotia","Adjusted market income","Number",0.373
1976,"Nova Scotia","Adjusted total income","Number",0.292
1976,"Nova Scotia","Adjusted after-tax income","Number",0.261
1976,"New Brunswick","Adjusted market income","Number",0.402
1976,"New Brunswick","Adjusted total income","Number",0.299
1976,"New Brunswick","Adjusted after-tax income","Number",0.27
1976,"Quebec","Adjusted market income","Number",0.387
1976,"Quebec","Adjusted total income","Number",0.325
1976,"Quebec","Adjusted after-tax income","Number",0.295
1976,"Ontario","Adjusted market income","Number",0.368
1976,"Ontario","Adjusted total income","Number",0.325
1976,"Ontario","Adjusted after-tax income","Number",0.294
1976,"Prairie provinces","Adjusted market income","Number",0.38
1976,"Prairie provinces","Adjusted total income","Number",0.335
1976,"Prairie provinces","Adjusted after-tax income","Number",0.311
1976,"Manitoba","Adjusted market income","Number",0.375
1976,"Manitoba","Adjusted total income","Number",0.321
1976,"Manitoba","Adjusted after-tax income","Number",0.294
1976,"Saskatchewan","Adjusted market income","Number",0.393
1976,"Saskatchewan","Adjusted total income","Number",0.34
1976,"Saskatchewan","Adjusted after-tax income","Number",0.312
1976,"Alberta","Adjusted market income","Number",0.371
1976,"Alberta","Adjusted total income","Number",0.333
1976,"Alberta","Adjusted after-tax income","Number",0.311
