"Year","GEO","VALUE"
2000,"Canada",65.8
2000,"Newfoundland and Labrador",55.5
2000,"Prince Edward Island",66.8
2000,"Nova Scotia",61.2
2000,"New Brunswick",61.6
2000,"Quebec",63.1
2000,"Ontario",67
2000,"Manitoba",67.9
2000,"Saskatchewan",66.7
2000,"Alberta",72.2
2000,"British Columbia",64.8
2001,"Canada",65.9
2001,"Newfoundland and Labrador",56.8
2001,"Prince Edward Island",67.1
2001,"Nova Scotia",62
2001,"New Brunswick",61.9
2001,"Quebec",63.6
2001,"Ontario",67.3
2001,"Manitoba",67.7
2001,"Saskatchewan",65.6
2001,"Alberta",72.3
2001,"British Columbia",64
2002,"Canada",66.9
2002,"Newfoundland and Labrador",58.2
2002,"Prince Edward Island",67.6
2002,"Nova Scotia",62.6
2002,"New Brunswick",63.3
2002,"Quebec",65.2
2002,"Ontario",67.8
2002,"Manitoba",68.9
2002,"Saskatchewan",66.9
2002,"Alberta",72.9
2002,"British Columbia",65
2003,"Canada",67.6
2003,"Newfoundland and Labrador",59.1
2003,"Prince Edward Island",67.8
2003,"Nova Scotia",63
2003,"New Brunswick",63.1
2003,"Quebec",66.1
2003,"Ontario",68.5
2003,"Manitoba",68.6
2003,"Saskatchewan",67.8
2003,"Alberta",73.5
2003,"British Columbia",65.5
2004,"Canada",67.5
2004,"Newfoundland and Labrador",59.1
2004,"Prince Edward Island",67.9
2004,"Nova Scotia",63.9
2004,"New Brunswick",63.8
2004,"Quebec",65.9
2004,"Ontario",68.4
2004,"Manitoba",68.9
2004,"Saskatchewan",67.8
2004,"Alberta",73.5
2004,"British Columbia",65.3
2005,"Canada",67.1
2005,"Newfoundland and Labrador",58.7
2005,"Prince Edward Island",68.1
2005,"Nova Scotia",63.4
2005,"New Brunswick",63.2
2005,"Quebec",65.6
2005,"Ontario",68
2005,"Manitoba",68.4
2005,"Saskatchewan",67.9
2005,"Alberta",72.7
2005,"British Columbia",65.4
2006,"Canada",67.2
2006,"Newfoundland and Labrador",59.3
2006,"Prince Edward Island",68.6
2006,"Nova Scotia",62.8
2006,"New Brunswick",63.5
2006,"Quebec",65.4
2006,"Ontario",67.7
2006,"Manitoba",68.5
2006,"Saskatchewan",68.8
2006,"Alberta",73.6
2006,"British Columbia",65.8
2007,"Canada",67.5
2007,"Newfoundland and Labrador",59.4
2007,"Prince Edward Island",67.8
2007,"Nova Scotia",63.5
2007,"New Brunswick",63.8
2007,"Quebec",65.6
2007,"Ontario",67.7
2007,"Manitoba",69.1
2007,"Saskatchewan",69.7
2007,"Alberta",74.5
2007,"British Columbia",66.2
2008,"Canada",67.6
2008,"Newfoundland and Labrador",59.7
2008,"Prince Edward Island",68.4
2008,"Nova Scotia",63.9
2008,"New Brunswick",65
2008,"Quebec",65.6
2008,"Ontario",67.6
2008,"Manitoba",69.4
2008,"Saskatchewan",70.1
2008,"Alberta",74.8
2008,"British Columbia",66.4
2009,"Canada",67.3
2009,"Newfoundland and Labrador",59.2
2009,"Prince Edward Island",67.9
2009,"Nova Scotia",64.5
2009,"New Brunswick",64.7
2009,"Quebec",65.3
