"Year","Labour productivity and related measures","Industry","VALUE"
1997,"Total number of jobs","All industries",14038380
1997,"Total number of jobs","Business sector industries",10951430
1997,"Total number of jobs","Goods-producing businesses",3486600
1997,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",545960
1997,"Total number of jobs","Mining and oil and gas extraction [BS21]",145220
1997,"Total number of jobs","Utilities [BS22]",94140
1997,"Total number of jobs","Construction [BS23]",798305
1997,"Total number of jobs","Manufacturing [BS3A]",1902975
1997,"Total number of jobs","Service-producing businesses",7464830
1997,"Total number of jobs","Energy sector",188730
1997,"Total number of jobs","Information and communication sector",374550
1997,"Hours worked for all jobs","All industries",25291101.4
1997,"Hours worked for all jobs","Business sector industries",20146333.1
1997,"Hours worked for all jobs","Goods-producing businesses",7046488
1997,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",1154148.6
1997,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",325661.1
1997,"Hours worked for all jobs","Utilities [BS22]",176118.1
1997,"Hours worked for all jobs","Construction [BS23]",1592645
1997,"Hours worked for all jobs","Manufacturing [BS3A]",3797915.2
1997,"Hours worked for all jobs","Service-producing businesses",13099845.1
1997,"Hours worked for all jobs","Energy sector",394329.6
1997,"Hours worked for all jobs","Information and communication sector",731308.2
1997,"Annual average number of hours worked for all jobs","All industries",1802
1997,"Annual average number of hours worked for all jobs","Business sector industries",1840
1997,"Annual average number of hours worked for all jobs","Goods-producing businesses",2021
1997,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2114
1997,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2243
1997,"Annual average number of hours worked for all jobs","Utilities [BS22]",1871
1997,"Annual average number of hours worked for all jobs","Construction [BS23]",1995
1997,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1996
1997,"Annual average number of hours worked for all jobs","Service-producing businesses",1755
1997,"Annual average number of hours worked for all jobs","Energy sector",2089
1997,"Annual average number of hours worked for all jobs","Information and communication sector",1952
1997,"Total compensation for all jobs","All industries",491029197
1997,"Total compensation for all jobs","Business sector industries",370372295
1997,"Total compensation for all jobs","Goods-producing businesses",147028491
1997,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",10414673
1997,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",9251775
1997,"Total compensation for all jobs","Utilities [BS22]",6125182
1997,"Total compensation for all jobs","Construction [BS23]",36091481
1997,"Total compensation for all jobs","Manufacturing [BS3A]",85145380
1997,"Total compensation for all jobs","Service-producing businesses",223343804
1997,"Total compensation for all jobs","Energy sector",12455413
1997,"Total compensation for all jobs","Information and communication sector",18596749
1997,"Nominal value added","All industries",837504977
1997,"Nominal value added","Business sector industries",620854839
1997,"Nominal value added","Goods-producing businesses",268605020
1997,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",20055024
1997,"Nominal value added","Mining and oil and gas extraction [BS21]",32929666
1997,"Nominal value added","Utilities [BS22]",24493183
1997,"Nominal value added","Construction [BS23]",45687934
1997,"Nominal value added","Manufacturing [BS3A]",145439213
1997,"Nominal value added","Service-producing businesses",352249819
1997,"Nominal value added","Energy sector",54630806
1997,"Nominal value added","Information and communication sector",26528110
1997,"Real value added","All industries",1170662312
1997,"Real value added","Business sector industries",863383407
1997,"Real value added","Goods-producing businesses",401921991
1997,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",27120573
1997,"Real value added","Mining and oil and gas extraction [BS21]",103725702
1997,"Real value added","Utilities [BS22]",30757990
1997,"Real value added","Construction [BS23]",74211705
1997,"Real value added","Manufacturing [BS3A]",170555416
1997,"Real value added","Service-producing businesses",463512631
1997,"Real value added","Energy sector",129034608
1997,"Real value added","Information and communication sector",28113152
1997,"Labour productivity","All industries",46.3
1997,"Labour productivity","Business sector industries",42.9
1997,"Labour productivity","Goods-producing businesses",57
1997,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",23.5
1997,"Labour productivity","Mining and oil and gas extraction [BS21]",318.5
1997,"Labour productivity","Utilities [BS22]",174.6
1997,"Labour productivity","Construction [BS23]",46.6
1997,"Labour productivity","Manufacturing [BS3A]",44.9
1997,"Labour productivity","Service-producing businesses",35.4
1997,"Labour productivity","Energy sector",327.2
1997,"Labour productivity","Information and communication sector",38.4
1997,"Total compensation per hour worked","All industries",19.42
1997,"Total compensation per hour worked","Business sector industries",18.38
1997,"Total compensation per hour worked","Goods-producing businesses",20.87
1997,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",9.02
1997,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",28.41
1997,"Total compensation per hour worked","Utilities [BS22]",34.78
1997,"Total compensation per hour worked","Construction [BS23]",22.66
1997,"Total compensation per hour worked","Manufacturing [BS3A]",22.42
1997,"Total compensation per hour worked","Service-producing businesses",17.05
1997,"Total compensation per hour worked","Energy sector",31.59
1997,"Total compensation per hour worked","Information and communication sector",25.43
1997,"Unit labour cost","All industries",0.419
1997,"Unit labour cost","Business sector industries",0.429
1997,"Unit labour cost","Goods-producing businesses",0.366
1997,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.384
1997,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.089
1997,"Unit labour cost","Utilities [BS22]",0.199
1997,"Unit labour cost","Construction [BS23]",0.486
1997,"Unit labour cost","Manufacturing [BS3A]",0.499
1997,"Unit labour cost","Service-producing businesses",0.482
1997,"Unit labour cost","Energy sector",0.097
1997,"Unit labour cost","Information and communication sector",0.661
1997,"Unit labour cost in US dollars","All industries",0.303
1997,"Unit labour cost in US dollars","Business sector industries",0.31
1997,"Unit labour cost in US dollars","Goods-producing businesses",0.264
1997,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.277
1997,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.064
1997,"Unit labour cost in US dollars","Utilities [BS22]",0.144
1997,"Unit labour cost in US dollars","Construction [BS23]",0.351
1997,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.361
1997,"Unit labour cost in US dollars","Service-producing businesses",0.348
1997,"Unit labour cost in US dollars","Energy sector",0.07
1997,"Unit labour cost in US dollars","Information and communication sector",0.478
1997,"Labour share","All industries",58.6
1997,"Labour share","Business sector industries",59.7
1997,"Labour share","Goods-producing businesses",54.7
1997,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",51.9
