"Year","GEO","Industry","Measure","VALUE"
2015,"British Columbia ","Business sector industries [T004]","Active businesses",138000
2015,"British Columbia ","Business sector industries [T004]","Opening businesses",7122
2015,"British Columbia ","Business sector industries [T004]","Continuing businesses",129737
2015,"British Columbia ","Business sector industries [T004]","Closing businesses",5838
2015,"British Columbia ","Business sector industries [T004]","Reopening businesses",4146
2015,"British Columbia ","Business sector industries [T004]","Entrants",2976
2015,"British Columbia ","Business sector industries [T004]","Temporary closures",3605
2015,"British Columbia ","Business sector industries [T004]","Exits",2233
2015,"British Columbia ","Forestry, fishing and hunting [11]","Active businesses",1904
2015,"British Columbia ","Forestry, fishing and hunting [11]","Opening businesses",137
2015,"British Columbia ","Forestry, fishing and hunting [11]","Continuing businesses",1766
2015,"British Columbia ","Forestry, fishing and hunting [11]","Closing businesses",123
2015,"British Columbia ","Forestry, fishing and hunting [11]","Reopening businesses",NA
2015,"British Columbia ","Forestry, fishing and hunting [11]","Entrants",NA
2015,"British Columbia ","Forestry, fishing and hunting [11]","Temporary closures",NA
2015,"British Columbia ","Forestry, fishing and hunting [11]","Exits",NA
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Active businesses",941
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Opening businesses",52
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Continuing businesses",888
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Closing businesses",57
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Reopening businesses",NA
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Entrants",NA
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Temporary closures",NA
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Exits",NA
2015,"British Columbia ","Utilities [22]","Active businesses",97
2015,"British Columbia ","Utilities [22]","Opening businesses",NA
2015,"British Columbia ","Utilities [22]","Continuing businesses",NA
2015,"British Columbia ","Utilities [22]","Closing businesses",NA
2015,"British Columbia ","Utilities [22]","Reopening businesses",NA
2015,"British Columbia ","Utilities [22]","Entrants",NA
2015,"British Columbia ","Utilities [22]","Temporary closures",NA
2015,"British Columbia ","Utilities [22]","Exits",NA
2015,"British Columbia ","Construction [23]","Active businesses",17389
2015,"British Columbia ","Construction [23]","Opening businesses",1127
2015,"British Columbia ","Construction [23]","Continuing businesses",16150
2015,"British Columbia ","Construction [23]","Closing businesses",869
2015,"British Columbia ","Construction [23]","Reopening businesses",NA
2015,"British Columbia ","Construction [23]","Entrants",NA
2015,"British Columbia ","Construction [23]","Temporary closures",NA
2015,"British Columbia ","Construction [23]","Exits",NA
2015,"British Columbia ","Manufacturing [31-33]","Active businesses",6112
2015,"British Columbia ","Manufacturing [31-33]","Opening businesses",202
2015,"British Columbia ","Manufacturing [31-33]","Continuing businesses",5922
2015,"British Columbia ","Manufacturing [31-33]","Closing businesses",207
2015,"British Columbia ","Manufacturing [31-33]","Reopening businesses",NA
2015,"British Columbia ","Manufacturing [31-33]","Entrants",NA
2015,"British Columbia ","Manufacturing [31-33]","Temporary closures",NA
2015,"British Columbia ","Manufacturing [31-33]","Exits",NA
2015,"British Columbia ","Food manufacturing [311]","Active businesses",730
2015,"British Columbia ","Food manufacturing [311]","Opening businesses",32
2015,"British Columbia ","Food manufacturing [311]","Continuing businesses",704
2015,"British Columbia ","Food manufacturing [311]","Closing businesses",27
2015,"British Columbia ","Food manufacturing [311]","Reopening businesses",NA
2015,"British Columbia ","Food manufacturing [311]","Entrants",NA
2015,"British Columbia ","Food manufacturing [311]","Temporary closures",NA
2015,"British Columbia ","Food manufacturing [311]","Exits",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Active businesses",236
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Opening businesses",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Continuing businesses",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Closing businesses",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Reopening businesses",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Entrants",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Temporary closures",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Exits",NA
2015,"British Columbia ","Wholesale trade [41]","Active businesses",6880
2015,"British Columbia ","Wholesale trade [41]","Opening businesses",226
2015,"British Columbia ","Wholesale trade [41]","Continuing businesses",6626
2015,"British Columbia ","Wholesale trade [41]","Closing businesses",185
2015,"British Columbia ","Wholesale trade [41]","Reopening businesses",NA
2015,"British Columbia ","Wholesale trade [41]","Entrants",NA
2015,"British Columbia ","Wholesale trade [41]","Temporary closures",NA
2015,"British Columbia ","Wholesale trade [41]","Exits",NA
2015,"British Columbia ","Retail trade [44-45]","Active businesses",13117
2015,"British Columbia ","Retail trade [44-45]","Opening businesses",446
2015,"British Columbia ","Retail trade [44-45]","Continuing businesses",12630
2015,"British Columbia ","Retail trade [44-45]","Closing businesses",404
2015,"British Columbia ","Retail trade [44-45]","Reopening businesses",NA
2015,"British Columbia ","Retail trade [44-45]","Entrants",NA
2015,"British Columbia ","Retail trade [44-45]","Temporary closures",NA
2015,"British Columbia ","Retail trade [44-45]","Exits",NA
2015,"British Columbia ","Transportation and warehousing [48-49]","Active businesses",6093
2015,"British Columbia ","Transportation and warehousing [48-49]","Opening businesses",409
2015,"British Columbia ","Transportation and warehousing [48-49]","Continuing businesses",5657
2015,"British Columbia ","Transportation and warehousing [48-49]","Closing businesses",296
2015,"British Columbia ","Transportation and warehousing [48-49]","Reopening businesses",NA
2015,"British Columbia ","Transportation and warehousing [48-49]","Entrants",NA
2015,"British Columbia ","Transportation and warehousing [48-49]","Temporary closures",NA
2015,"British Columbia ","Transportation and warehousing [48-49]","Exits",NA
2015,"British Columbia ","Information and cultural industries [51]","Active businesses",1865
