"Year","GEO","Prices","Estimates","UOM","SCALAR_FACTOR","VALUE","GDP","Estimate_per_GDP"
1981,"Alberta","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",34948,121088,28.9
1981,"Alberta","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",25706,121088,21.2
1981,"Alberta","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",121088,121088,100
1981,"Alberta","Chained (2017) dollars","Intellectual property products","Dollars","millions",2527,121088,2.1
1981,"Alberta","Chained (2017) dollars","Machinery and equipment","Dollars","millions",3539,121088,2.9
1981,"Alberta","Chained (2017) dollars","Non-residential Investment","Dollars","millions",25231,121088,20.9
1981,"Alberta","Chained (2017) dollars","Non-residential structures","Dollars","millions",24940,121088,20.6
1981,"Alberta","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",22704,121088,18.8
1981,"Alberta","Chained (2017) dollars","Residential structures","Dollars","millions",9953,121088,8.2
1981,"Alberta","Current prices","Business gross fixed capital formation","Dollars","millions",16739,54601,30.7
1981,"Alberta","Current prices","General governments final consumption expenditure","Dollars","millions",7744,54601,14.2
1981,"Alberta","Current prices","Gross domestic product at market prices","Dollars","millions",54601,54601,100
1981,"Alberta","Current prices","Intellectual property products","Dollars","millions",1098,54601,2
1981,"Alberta","Current prices","Machinery and equipment","Dollars","millions",4376,54601,8
1981,"Alberta","Current prices","Non-residential Investment","Dollars","millions",13549,54601,24.8
1981,"Alberta","Current prices","Non-residential structures","Dollars","millions",8075,54601,14.8
1981,"Alberta","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",12451,54601,22.8
1981,"Alberta","Current prices","Residential structures","Dollars","millions",3190,54601,5.8
1981,"British Columbia","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",22269,114605,19.4
1981,"British Columbia","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",27956,114605,24.4
1981,"British Columbia","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",114605,114605,100
1981,"British Columbia","Chained (2017) dollars","Intellectual property products","Dollars","millions",694,114605,0.6
1981,"British Columbia","Chained (2017) dollars","Machinery and equipment","Dollars","millions",2490,114605,2.2
1981,"British Columbia","Chained (2017) dollars","Non-residential Investment","Dollars","millions",11074,114605,9.7
1981,"British Columbia","Chained (2017) dollars","Non-residential structures","Dollars","millions",10768,114605,9.4
1981,"British Columbia","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",10380,114605,9.1
1981,"British Columbia","Chained (2017) dollars","Residential structures","Dollars","millions",10146,114605,8.9
1981,"British Columbia","Current prices","Business gross fixed capital formation","Dollars","millions",11642,46596,25
1981,"British Columbia","Current prices","General governments final consumption expenditure","Dollars","millions",9046,46596,19.4
1981,"British Columbia","Current prices","Gross domestic product at market prices","Dollars","millions",46596,46596,100
1981,"British Columbia","Current prices","Intellectual property products","Dollars","millions",352,46596,0.8
1981,"British Columbia","Current prices","Machinery and equipment","Dollars","millions",3394,46596,7.3
1981,"British Columbia","Current prices","Non-residential Investment","Dollars","millions",7663,46596,16.5
1981,"British Columbia","Current prices","Non-residential structures","Dollars","millions",3917,46596,8.4
1981,"British Columbia","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",7311,46596,15.7
1981,"British Columbia","Current prices","Residential structures","Dollars","millions",3979,46596,8.5
1981,"Canada","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",166602,925154,18
1981,"Canada","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",249111,925154,26.9
1981,"Canada","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",925154,925154,100
1981,"Canada","Chained (2017) dollars","Intellectual property products","Dollars","millions",7874,925154,0.9
1981,"Canada","Chained (2017) dollars","Machinery and equipment","Dollars","millions",26552,925154,2.9
1981,"Canada","Chained (2017) dollars","Non-residential Investment","Dollars","millions",92533,925154,10.1
1981,"Canada","Chained (2017) dollars","Non-residential structures","Dollars","millions",74042,925154,8
1981,"Canada","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",84659,925154,9.2
1981,"Canada","Chained (2017) dollars","Residential structures","Dollars","millions",72242,925154,7.8
1981,"Canada","Current prices","Business gross fixed capital formation","Dollars","millions",77934,368358,21.2
1981,"Canada","Current prices","General governments final consumption expenditure","Dollars","millions",78836,368358,21.4
1981,"Canada","Current prices","Gross domestic product at market prices","Dollars","millions",368358,368358,100
1981,"Canada","Current prices","Intellectual property products","Dollars","millions",3985,368358,1.1
1981,"Canada","Current prices","Machinery and equipment","Dollars","millions",26827,368358,7.3
1981,"Canada","Current prices","Non-residential Investment","Dollars","millions",57009,368358,15.5
1981,"Canada","Current prices","Non-residential structures","Dollars","millions",26197,368358,7.1
1981,"Canada","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",53024,368358,14.4
1981,"Canada","Current prices","Residential structures","Dollars","millions",20925,368358,5.7
1981,"Manitoba","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",4103,33934,12.1
1981,"Manitoba","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",10645,33934,31.4
1981,"Manitoba","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",33934,33934,100
1981,"Manitoba","Chained (2017) dollars","Intellectual property products","Dollars","millions",112,33934,0.3
1981,"Manitoba","Chained (2017) dollars","Machinery and equipment","Dollars","millions",796,33934,2.3
1981,"Manitoba","Chained (2017) dollars","Non-residential Investment","Dollars","millions",2368,33934,6.9
1981,"Manitoba","Chained (2017) dollars","Non-residential structures","Dollars","millions",1813,33934,5.3
1981,"Manitoba","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",2256,33934,6.6
1981,"Manitoba","Chained (2017) dollars","Residential structures","Dollars","millions",1836,33934,5.4
1981,"Manitoba","Current prices","Business gross fixed capital formation","Dollars","millions",2265,13856,16.3
1981,"Manitoba","Current prices","General governments final consumption expenditure","Dollars","millions",3169,13856,22.9
1981,"Manitoba","Current prices","Gross domestic product at market prices","Dollars","millions",13856,13856,100
1981,"Manitoba","Current prices","Intellectual property products","Dollars","millions",71,13856,0.5
1981,"Manitoba","Current prices","Machinery and equipment","Dollars","millions",974,13856,7
1981,"Manitoba","Current prices","Non-residential Investment","Dollars","millions",1685,13856,12.1
1981,"Manitoba","Current prices","Non-residential structures","Dollars","millions",640,13856,4.6
1981,"Manitoba","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",1614,13856,11.6
1981,"Manitoba","Current prices","Residential structures","Dollars","millions",580,13856,4.2
1981,"New Brunswick","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",2026,18338,11
1981,"New Brunswick","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",6949,18338,37.9
1981,"New Brunswick","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",18338,18338,100
1981,"New Brunswick","Chained (2017) dollars","Intellectual property products","Dollars","millions",36,18338,0.2
1981,"New Brunswick","Chained (2017) dollars","Machinery and equipment","Dollars","millions",445,18338,2.4
1981,"New Brunswick","Chained (2017) dollars","Non-residential Investment","Dollars","millions",1247,18338,6.8
1981,"New Brunswick","Chained (2017) dollars","Non-residential structures","Dollars","millions",989,18338,5.4
1981,"New Brunswick","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",1211,18338,6.6
1981,"New Brunswick","Chained (2017) dollars","Residential structures","Dollars","millions",718,18338,3.9
1981,"New Brunswick","Current prices","Business gross fixed capital formation","Dollars","millions",1322,6652,19.9
1981,"New Brunswick","Current prices","General governments final consumption expenditure","Dollars","millions",2017,6652,30.3
1981,"New Brunswick","Current prices","Gross domestic product at market prices","Dollars","millions",6652,6652,100
1981,"New Brunswick","Current prices","Intellectual property products","Dollars","millions",24,6652,0.4
1981,"New Brunswick","Current prices","Machinery and equipment","Dollars","millions",594,6652,8.9
1981,"New Brunswick","Current prices","Non-residential Investment","Dollars","millions",1011,6652,15.2
1981,"New Brunswick","Current prices","Non-residential structures","Dollars","millions",393,6652,5.9
1981,"New Brunswick","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",987,6652,14.8
1981,"New Brunswick","Current prices","Residential structures","Dollars","millions",311,6652,4.7
1981,"Newfoundland and Labrador","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",2122,15331,13.8
1981,"Newfoundland and Labrador","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",4643,15331,30.3
1981,"Newfoundland and Labrador","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",15331,15331,100
1981,"Newfoundland and Labrador","Chained (2017) dollars","Intellectual property products","Dollars","millions",130,15331,0.8
1981,"Newfoundland and Labrador","Chained (2017) dollars","Machinery and equipment","Dollars","millions",226,15331,1.5
1981,"Newfoundland and Labrador","Chained (2017) dollars","Non-residential Investment","Dollars","millions",1308,15331,8.5
1981,"Newfoundland and Labrador","Chained (2017) dollars","Non-residential structures","Dollars","millions",1203,15331,7.8
1981,"Newfoundland and Labrador","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",1178,15331,7.7
1981,"Newfoundland and Labrador","Chained (2017) dollars","Residential structures","Dollars","millions",802,15331,5.2
1981,"Newfoundland and Labrador","Current prices","Business gross fixed capital formation","Dollars","millions",1111,5251,21.2
1981,"Newfoundland and Labrador","Current prices","General governments final consumption expenditure","Dollars","millions",1654,5251,31.5
1981,"Newfoundland and Labrador","Current prices","Gross domestic product at market prices","Dollars","millions",5251,5251,100
1981,"Newfoundland and Labrador","Current prices","Intellectual property products","Dollars","millions",74,5251,1.4
1981,"Newfoundland and Labrador","Current prices","Machinery and equipment","Dollars","millions",286,5251,5.4
1981,"Newfoundland and Labrador","Current prices","Non-residential Investment","Dollars","millions",828,5251,15.8
1981,"Newfoundland and Labrador","Current prices","Non-residential structures","Dollars","millions",468,5251,8.9
1981,"Newfoundland and Labrador","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",754,5251,14.4
1981,"Newfoundland and Labrador","Current prices","Residential structures","Dollars","millions",283,5251,5.4
1981,"Northwest Territories","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Chained (2017) dollars","Intellectual property products","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Chained (2017) dollars","Machinery and equipment","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Chained (2017) dollars","Non-residential Investment","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Chained (2017) dollars","Non-residential structures","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Chained (2017) dollars","Residential structures","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Current prices","Business gross fixed capital formation","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Current prices","General governments final consumption expenditure","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Current prices","Gross domestic product at market prices","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Current prices","Intellectual property products","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Current prices","Machinery and equipment","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Current prices","Non-residential Investment","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Current prices","Non-residential structures","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",NA,NA,NA
1981,"Northwest Territories","Current prices","Residential structures","Dollars","millions",NA,NA,NA
1981,"Northwest Territories including Nunavut","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",3302,2365,139.6
1981,"Northwest Territories including Nunavut","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",1775,2365,75.1
1981,"Northwest Territories including Nunavut","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",2365,2365,100
1981,"Northwest Territories including Nunavut","Chained (2017) dollars","Intellectual property products","Dollars","millions",415,2365,17.5
1981,"Northwest Territories including Nunavut","Chained (2017) dollars","Machinery and equipment","Dollars","millions",375,2365,15.9
1981,"Northwest Territories including Nunavut","Chained (2017) dollars","Non-residential Investment","Dollars","millions",3023,2365,127.8
1981,"Northwest Territories including Nunavut","Chained (2017) dollars","Non-residential structures","Dollars","millions",2111,2365,89.3
1981,"Northwest Territories including Nunavut","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",2608,2365,110.3
1981,"Northwest Territories including Nunavut","Chained (2017) dollars","Residential structures","Dollars","millions",58,2365,2.5
1981,"Northwest Territories including Nunavut","Current prices","Business gross fixed capital formation","Dollars","millions",1448,1053,137.5
1981,"Northwest Territories including Nunavut","Current prices","General governments final consumption expenditure","Dollars","millions",532,1053,50.5
1981,"Northwest Territories including Nunavut","Current prices","Gross domestic product at market prices","Dollars","millions",1053,1053,100
1981,"Northwest Territories including Nunavut","Current prices","Intellectual property products","Dollars","millions",176,1053,16.7
1981,"Northwest Territories including Nunavut","Current prices","Machinery and equipment","Dollars","millions",470,1053,44.6
1981,"Northwest Territories including Nunavut","Current prices","Non-residential Investment","Dollars","millions",1428,1053,135.6
1981,"Northwest Territories including Nunavut","Current prices","Non-residential structures","Dollars","millions",782,1053,74.3
1981,"Northwest Territories including Nunavut","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",1252,1053,118.9
