"Year","GEO","VALUE"
2000,"Canada",664.5
2000,"Newfoundland and Labrador [10]",643.7
2000,"St. John's, Newfoundland and Labrador [10001]",0
2000,"Prince Edward Island [11]",423.4
2000,"Nova Scotia [12]",646.52
2000,"Halifax, Nova Scotia [12205]",0
2000,"New Brunswick [13]",604
2000,"Moncton, New Brunswick [13305]",NA
2000,"Saint John, New Brunswick [13310]",0
2000,"Quebec [24]",478.23
2000,"Saguenay, Quebec [24408]",0
2000,"Québec, Quebec [24421]",0
2000,"Sherbrooke, Quebec [24433]",0
2000,"Trois-Rivières, Quebec [24442]",0
2000,"Montréal, Quebec [24462]",0
2000,"Ottawa-Gatineau, Quebec part [24505]",0
2000,"Ontario [35]",634.39
2000,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",0
2000,"Ottawa-Gatineau, Ontario part [35505]",0
2000,"Kingston, Ontario [35521]",NA
2000,"Belleville, Ontario [35522]",NA
2000,"Peterborough, Ontario [35529]",NA
2000,"Toronto, Ontario [35535]",0
2000,"Hamilton, Ontario [35537]",0
2000,"St. Catharines-Niagara, Ontario [35539]",0
2000,"Kitchener-Cambridge-Waterloo, Ontario [35541]",0
2000,"Brantford, Ontario [35543]",NA
2000,"Guelph, Ontario [35550]",NA
2000,"London, Ontario [35555]",0
2000,"Windsor, Ontario [35559]",0
2000,"Barrie, Ontario [35568]",NA
2000,"Greater Sudbury, Ontario [35580]",0
2000,"Thunder Bay, Ontario [35595]",0
2000,"Manitoba [46]",1309.64
2000,"Winnipeg, Manitoba [46602]",0
2000,"Saskatchewan [47]",1202.72
2000,"Regina, Saskatchewan [47705]",0
2000,"Saskatoon, Saskatchewan [47725]",0
2000,"Alberta [48]",705.46
2000,"Lethbridge, Alberta [48810]",NA
2000,"Calgary, Alberta [48825]",0
2000,"Edmonton, Alberta [48835]",0
2000,"British Columbia [59]",716.06
2000,"Kelowna, British Columbia [59915]",NA
2000,"Abbotsford-Mission, British Columbia [59932]",NA
2000,"Vancouver, British Columbia [59933]",0
2000,"Victoria, British Columbia [59935]",0
2000,"Yukon [60]",2341.53
2000,"Northwest Territories [61]",3198.71
2000,"Nunavut [62]",5299.47
2000,"Canadian Forces Military Police [99001]",NA
2001,"Canada",689.43
2001,"Newfoundland and Labrador [10]",614.14
2001,"St. John's, Newfoundland and Labrador [10001]",0
2001,"Prince Edward Island [11]",482.01
2001,"Nova Scotia [12]",704.44
2001,"Halifax, Nova Scotia [12205]",0
2001,"New Brunswick [13]",607.88
2001,"Moncton, New Brunswick [13305]",NA
2001,"Saint John, New Brunswick [13310]",0
2001,"Quebec [24]",537.27
2001,"Saguenay, Quebec [24408]",0
2001,"Québec, Quebec [24421]",0
2001,"Sherbrooke, Quebec [24433]",0
2001,"Trois-Rivières, Quebec [24442]",0
2001,"Montréal, Quebec [24462]",0
2001,"Ottawa-Gatineau, Quebec part [24505]",0
2001,"Ontario [35]",650.96
2001,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",0
2001,"Ottawa-Gatineau, Ontario part [35505]",0
2001,"Kingston, Ontario [35521]",0
2001,"Belleville, Ontario [35522]",NA
2001,"Peterborough, Ontario [35529]",NA
2001,"Toronto, Ontario [35535]",0
2001,"Hamilton, Ontario [35537]",0
2001,"St. Catharines-Niagara, Ontario [35539]",0
2001,"Kitchener-Cambridge-Waterloo, Ontario [35541]",0
2001,"Brantford, Ontario [35543]",NA
2001,"Guelph, Ontario [35550]",NA
2001,"London, Ontario [35555]",0
2001,"Windsor, Ontario [35559]",0
2001,"Barrie, Ontario [35568]",NA
2001,"Greater Sudbury, Ontario [35580]",0
2001,"Thunder Bay, Ontario [35595]",0
2001,"Manitoba [46]",1301.55
2001,"Winnipeg, Manitoba [46602]",0
2001,"Saskatchewan [47]",1280.65
2001,"Regina, Saskatchewan [47705]",0
2001,"Saskatoon, Saskatchewan [47725]",0
2001,"Alberta [48]",728.96
2001,"Lethbridge, Alberta [48810]",NA
2001,"Calgary, Alberta [48825]",0
2001,"Edmonton, Alberta [48835]",0
2001,"British Columbia [59]",706.24
2001,"Kelowna, British Columbia [59915]",NA
2001,"Abbotsford-Mission, British Columbia [59932]",0
2001,"Vancouver, British Columbia [59933]",0
2001,"Victoria, British Columbia [59935]",0
2001,"Yukon [60]",2201.53
2001,"Northwest Territories [61]",3329.7
2001,"Nunavut [62]",5033.61
2001,"Canadian Forces Military Police [99001]",NA
2002,"Canada",662.96
2002,"Newfoundland and Labrador [10]",554.87
2002,"St. John's, Newfoundland and Labrador [10001]",0
2002,"Prince Edward Island [11]",499.11
2002,"Nova Scotia [12]",696.6
2002,"Halifax, Nova Scotia [12205]",0
2002,"New Brunswick [13]",544.24
2002,"Moncton, New Brunswick [13305]",NA
2002,"Saint John, New Brunswick [13310]",0
2002,"Quebec [24]",529.94
2002,"Saguenay, Quebec [24408]",0
2002,"Québec, Quebec [24421]",0
2002,"Sherbrooke, Quebec [24433]",0
2002,"Trois-Rivières, Quebec [24442]",0
2002,"Montréal, Quebec [24462]",0
2002,"Ottawa-Gatineau, Quebec part [24505]",0
2002,"Ontario [35]",623.1
2002,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",0
2002,"Ottawa-Gatineau, Ontario part [35505]",0
2002,"Kingston, Ontario [35521]",0
2002,"Belleville, Ontario [35522]",NA
2002,"Peterborough, Ontario [35529]",NA
2002,"Toronto, Ontario [35535]",0
2002,"Hamilton, Ontario [35537]",0
2002,"St. Catharines-Niagara, Ontario [35539]",0
2002,"Kitchener-Cambridge-Waterloo, Ontario [35541]",0
2002,"Brantford, Ontario [35543]",NA
2002,"Guelph, Ontario [35550]",NA
2002,"London, Ontario [35555]",0
2002,"Windsor, Ontario [35559]",0
2002,"Barrie, Ontario [35568]",NA
2002,"Greater Sudbury, Ontario [35580]",0
2002,"Thunder Bay, Ontario [35595]",0
2002,"Manitoba [46]",1291.99
2002,"Winnipeg, Manitoba [46602]",0
2002,"Saskatchewan [47]",1220.66
2002,"Regina, Saskatchewan [47705]",0
2002,"Saskatoon, Saskatchewan [47725]",0
2002,"Alberta [48]",689.99
