"GEO","Funder","Performer","Science type","Prices","GR5","GR3","Maxyear"
"Alberta"," business enterprise sector"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," federal government sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," federal government sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," federal government sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," federal government sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," private non-profit sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," private non-profit sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," private non-profit sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," private non-profit sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," private non-profit sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," private non-profit sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," business enterprise sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," business enterprise sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"Alberta"," federal government sector"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," federal government sector"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," federal government sector"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," federal government sector"," federal government sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," federal government sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," federal government sector"," federal government sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," federal government sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," federal government sector"," federal government sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," federal government sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," federal government sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
