"Year","GEO","Character","Sex","Age","VALUE"
2000,"Canada","Labour force","Both sexes","15 years and over",15841.9
2000,"Canada","Labour force","Both sexes","15 to 24 years",2619.4
2000,"Canada","Labour force","Both sexes","25 to 54 years",11600.2
2000,"Canada","Labour force","Both sexes","55 years and over",1622.4
2000,"Canada","Labour force","Males","15 years and over",8565.7
2000,"Canada","Labour force","Males","15 to 24 years",1370.1
2000,"Canada","Labour force","Males","25 to 54 years",6219.8
2000,"Canada","Labour force","Males","55 years and over",975.8
2000,"Canada","Labour force","Females","15 years and over",7276.2
2000,"Canada","Labour force","Females","15 to 24 years",1249.3
2000,"Canada","Labour force","Females","25 to 54 years",5380.4
2000,"Canada","Labour force","Females","55 years and over",646.6
2000,"Canada","Employment","Both sexes","15 years and over",14760.1
2000,"Canada","Employment","Both sexes","15 to 24 years",2287.4
2000,"Canada","Employment","Both sexes","25 to 54 years",10933.1
2000,"Canada","Employment","Both sexes","55 years and over",1539.6
2000,"Canada","Employment","Males","15 years and over",7971
2000,"Canada","Employment","Males","15 to 24 years",1180.5
2000,"Canada","Employment","Males","25 to 54 years",5863.6
2000,"Canada","Employment","Males","55 years and over",926.9
2000,"Canada","Employment","Females","15 years and over",6789.1
2000,"Canada","Employment","Females","15 to 24 years",1106.9
2000,"Canada","Employment","Females","25 to 54 years",5069.5
2000,"Canada","Employment","Females","55 years and over",612.7
2000,"Canada","Full-time employment","Both sexes","15 years and over",12089.4
2000,"Canada","Full-time employment","Both sexes","15 to 24 years",1289.3
2000,"Canada","Full-time employment","Both sexes","25 to 54 years",9597.9
2000,"Canada","Full-time employment","Both sexes","55 years and over",1202.2
2000,"Canada","Full-time employment","Males","15 years and over",7147.7
2000,"Canada","Full-time employment","Males","15 to 24 years",747.2
2000,"Canada","Full-time employment","Males","25 to 54 years",5609.4
2000,"Canada","Full-time employment","Males","55 years and over",791.2
2000,"Canada","Full-time employment","Females","15 years and over",4941.7
2000,"Canada","Full-time employment","Females","15 to 24 years",542.1
2000,"Canada","Full-time employment","Females","25 to 54 years",3988.6
2000,"Canada","Full-time employment","Females","55 years and over",411
2000,"Canada","Part-time employment","Both sexes","15 years and over",2670.7
2000,"Canada","Part-time employment","Both sexes","15 to 24 years",998.1
2000,"Canada","Part-time employment","Both sexes","25 to 54 years",1335.2
2000,"Canada","Part-time employment","Both sexes","55 years and over",337.4
2000,"Canada","Part-time employment","Males","15 years and over",823.3
2000,"Canada","Part-time employment","Males","15 to 24 years",433.3
2000,"Canada","Part-time employment","Males","25 to 54 years",254.3
2000,"Canada","Part-time employment","Males","55 years and over",135.7
2000,"Canada","Part-time employment","Females","15 years and over",1847.4
2000,"Canada","Part-time employment","Females","15 to 24 years",564.8
2000,"Canada","Part-time employment","Females","25 to 54 years",1080.9
2000,"Canada","Part-time employment","Females","55 years and over",201.7
2000,"Canada","Unemployment","Both sexes","15 years and over",1081.8
2000,"Canada","Unemployment","Both sexes","15 to 24 years",332
2000,"Canada","Unemployment","Both sexes","25 to 54 years",667
2000,"Canada","Unemployment","Both sexes","55 years and over",82.8
2000,"Canada","Unemployment","Males","15 years and over",594.7
2000,"Canada","Unemployment","Males","15 to 24 years",189.7
2000,"Canada","Unemployment","Males","25 to 54 years",356.1
2000,"Canada","Unemployment","Males","55 years and over",48.9
2000,"Canada","Unemployment","Females","15 years and over",487.1
2000,"Canada","Unemployment","Females","15 to 24 years",142.3
2000,"Canada","Unemployment","Females","25 to 54 years",310.9
2000,"Canada","Unemployment","Females","55 years and over",33.9
2000,"Canada","Unemployment rate","Both sexes","15 years and over",6.8
2000,"Canada","Unemployment rate","Both sexes","15 to 24 years",12.7
2000,"Canada","Unemployment rate","Both sexes","25 to 54 years",5.7
2000,"Canada","Unemployment rate","Both sexes","55 years and over",5.1
2000,"Canada","Unemployment rate","Males","15 years and over",6.9
2000,"Canada","Unemployment rate","Males","15 to 24 years",13.8
2000,"Canada","Unemployment rate","Males","25 to 54 years",5.7
2000,"Canada","Unemployment rate","Males","55 years and over",5
2000,"Canada","Unemployment rate","Females","15 years and over",6.7
2000,"Canada","Unemployment rate","Females","15 to 24 years",11.4
2000,"Canada","Unemployment rate","Females","25 to 54 years",5.8
2000,"Canada","Unemployment rate","Females","55 years and over",5.2
2000,"Newfoundland and Labrador","Labour force","Both sexes","15 years and over",238.3
2000,"Newfoundland and Labrador","Labour force","Both sexes","15 to 24 years",36.6
