"Year","GEO","Sex","Age","Reason","VALUE"
2000,"Alberta","Females","15 years and over","Business conditions",20.4
2000,"Alberta","Females","15 years and over","Caring for children",46.7
2000,"Alberta","Females","15 years and over","Could not find full-time work",18
2000,"Alberta","Females","15 years and over","Going to school",46.7
2000,"Alberta","Females","15 years and over","Own illness",5.5
2000,"Alberta","Females","15 years and over","Part-time employment, all reasons",210.2
2000,"Alberta","Females","15 years and over","Personal preference",55.5
2000,"Alberta","Males","15 years and over","Business conditions",10.5
2000,"Alberta","Males","15 years and over","Caring for children",NA
2000,"Alberta","Males","15 years and over","Could not find full-time work",6.3
2000,"Alberta","Males","15 years and over","Going to school",36.9
2000,"Alberta","Males","15 years and over","Own illness",3.2
2000,"Alberta","Males","15 years and over","Part-time employment, all reasons",81
2000,"Alberta","Males","15 years and over","Personal preference",20.3
2000,"British Columbia","Females","15 years and over","Business conditions",31
2000,"British Columbia","Females","15 years and over","Caring for children",54.4
2000,"British Columbia","Females","15 years and over","Could not find full-time work",38.3
2000,"British Columbia","Females","15 years and over","Going to school",54.2
2000,"British Columbia","Females","15 years and over","Own illness",5.7
2000,"British Columbia","Females","15 years and over","Part-time employment, all reasons",280.8
2000,"British Columbia","Females","15 years and over","Personal preference",72.9
2000,"British Columbia","Males","15 years and over","Business conditions",20.5
2000,"British Columbia","Males","15 years and over","Caring for children",NA
2000,"British Columbia","Males","15 years and over","Could not find full-time work",20.8
2000,"British Columbia","Males","15 years and over","Going to school",39.7
2000,"British Columbia","Males","15 years and over","Own illness",3
2000,"British Columbia","Males","15 years and over","Part-time employment, all reasons",116.7
2000,"British Columbia","Males","15 years and over","Personal preference",26.3
2000,"Canada","Females","15 years and over","Business conditions",192.9
2000,"Canada","Females","15 years and over","Caring for children",279.7
2000,"Canada","Females","15 years and over","Could not find full-time work",257.6
2000,"Canada","Females","15 years and over","Going to school",442.4
2000,"Canada","Females","15 years and over","Own illness",40.7
2000,"Canada","Females","15 years and over","Part-time employment, all reasons",1847.4
2000,"Canada","Females","15 years and over","Personal preference",494.4
2000,"Canada","Males","15 years and over","Business conditions",110.2
2000,"Canada","Males","15 years and over","Caring for children",5.9
2000,"Canada","Males","15 years and over","Could not find full-time work",116.4
2000,"Canada","Males","15 years and over","Going to school",360.5
2000,"Canada","Males","15 years and over","Own illness",23.4
2000,"Canada","Males","15 years and over","Part-time employment, all reasons",823.3
2000,"Canada","Males","15 years and over","Personal preference",177.2
2000,"Ontario","Females","15 years and over","Business conditions",77.6
2000,"Ontario","Females","15 years and over","Caring for children",108.2
2000,"Ontario","Females","15 years and over","Could not find full-time work",79.2
2000,"Ontario","Females","15 years and over","Going to school",193.7
2000,"Ontario","Females","15 years and over","Own illness",14.6
2000,"Ontario","Females","15 years and over","Part-time employment, all reasons",714.3
2000,"Ontario","Females","15 years and over","Personal preference",196.9
2000,"Ontario","Males","15 years and over","Business conditions",43.4
2000,"Ontario","Males","15 years and over","Caring for children",2.5
2000,"Ontario","Males","15 years and over","Could not find full-time work",32.5
2000,"Ontario","Males","15 years and over","Going to school",160.4
2000,"Ontario","Males","15 years and over","Own illness",10
2000,"Ontario","Males","15 years and over","Part-time employment, all reasons",331.2
2000,"Ontario","Males","15 years and over","Personal preference",72.3
2000,"Quebec","Females","15 years and over","Business conditions",33.6
2000,"Quebec","Females","15 years and over","Caring for children",33.3
2000,"Quebec","Females","15 years and over","Could not find full-time work",82
2000,"Quebec","Females","15 years and over","Going to school",91.7
2000,"Quebec","Females","15 years and over","Own illness",8.8
2000,"Quebec","Females","15 years and over","Part-time employment, all reasons",385.5
2000,"Quebec","Females","15 years and over","Personal preference",102.3
2000,"Quebec","Males","15 years and over","Business conditions",21.7
2000,"Quebec","Males","15 years and over","Caring for children",NA
2000,"Quebec","Males","15 years and over","Could not find full-time work",40.5
2000,"Quebec","Males","15 years and over","Going to school",77.3
2000,"Quebec","Males","15 years and over","Own illness",3.6
2000,"Quebec","Males","15 years and over","Part-time employment, all reasons",186.9
2000,"Quebec","Males","15 years and over","Personal preference",36
2001,"Alberta","Females","15 years and over","Business conditions",19.4
2001,"Alberta","Females","15 years and over","Caring for children",46.4
2001,"Alberta","Females","15 years and over","Could not find full-time work",15.4
2001,"Alberta","Females","15 years and over","Going to school",48
2001,"Alberta","Females","15 years and over","Own illness",7.1
2001,"Alberta","Females","15 years and over","Part-time employment, all reasons",206.7
2001,"Alberta","Females","15 years and over","Personal preference",53
2001,"Alberta","Males","15 years and over","Business conditions",12.4
2001,"Alberta","Males","15 years and over","Caring for children",NA
2001,"Alberta","Males","15 years and over","Could not find full-time work",6.3
2001,"Alberta","Males","15 years and over","Going to school",40.1
2001,"Alberta","Males","15 years and over","Own illness",3.2
2001,"Alberta","Males","15 years and over","Part-time employment, all reasons",85.5
2001,"Alberta","Males","15 years and over","Personal preference",19.9
2001,"British Columbia","Females","15 years and over","Business conditions",41
2001,"British Columbia","Females","15 years and over","Caring for children",50.6
