"Year","GEO","Industry","VA_EXP","GDP"
2007,"Canada","Total industries",361990779,1577661
2007,"Canada","Crop and animal production [BS11A]",10581327,1577661
2007,"Canada","Forestry and logging [BS113]",460787,1577661
2007,"Canada","Fishing, hunting and trapping [BS114]",582860,1577661
2007,"Canada","Support activities for agriculture and forestry [BS115]",70819,1577661
2007,"Canada","Mining, quarrying, and oil and gas extraction [BS210]",75101779,1577661
2007,"Canada","Utilities [BS220]",2996451,1577661
2007,"Canada","Residential building construction [BS23A]",0,1577661
2007,"Canada","Other activities of the construction industry [BS23E]",139680,1577661
2007,"Canada","Manufacturing [BS3A0]",173507435,1577661
2007,"Canada","Wholesale trade [BS410]",26464265,1577661
2007,"Canada","Retail trade [BS4A0]",1216234,1577661
2007,"Canada","Transportation and warehousing [BS4B0]",24918193,1577661
2007,"Canada","Information and cultural industries [BS510]",5791519,1577661
2007,"Canada","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",7835496,1577661
2007,"Canada","Professional, scientific and technical services [BS540]",14561932,1577661
2007,"Canada","Administrative and support, waste management and remediation services [BS560]",4166154,1577661
2007,"Canada","Educational services [BS610]",442347,1577661
2007,"Canada","Health care and social assistance [BS620]",1910,1577661
2007,"Canada","Arts, entertainment and recreation [BS710]",1873598,1577661
2007,"Canada","Accommodation and food services [BS720]",7490864,1577661
2007,"Canada","Other services (except public administration) [BS810]",179378,1577661
2007,"Canada","Non-profit institutions serving households [NP000]",229826,1577661
2007,"Canada","Government education services [GS610]",1194131,1577661
2007,"Canada","Government health services [GS620]",322109,1577661
2007,"Canada","Other federal government services [GS911]",689111,1577661
2007,"Canada","Other provincial and territorial government services [GS912]",711865,1577661
2007,"Canada","Other municipal government services [GS913]",460709,1577661
2008,"Canada","Total industries",386736749,1657041
2008,"Canada","Crop and animal production [BS11A]",14669879,1657041
2008,"Canada","Forestry and logging [BS113]",349440,1657041
2008,"Canada","Fishing, hunting and trapping [BS114]",653801,1657041
2008,"Canada","Support activities for agriculture and forestry [BS115]",68726,1657041
2008,"Canada","Mining, quarrying, and oil and gas extraction [BS210]",103004286,1657041
2008,"Canada","Utilities [BS220]",3464227,1657041
2008,"Canada","Residential building construction [BS23A]",0,1657041
2008,"Canada","Other activities of the construction industry [BS23E]",159705,1657041
2008,"Canada","Manufacturing [BS3A0]",162526037,1657041
2008,"Canada","Wholesale trade [BS410]",26164976,1657041
2008,"Canada","Retail trade [BS4A0]",1217225,1657041
2008,"Canada","Transportation and warehousing [BS4B0]",25738165,1657041
2008,"Canada","Information and cultural industries [BS510]",6326582,1657041
2008,"Canada","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",8099279,1657041
2008,"Canada","Professional, scientific and technical services [BS540]",16183628,1657041
2008,"Canada","Administrative and support, waste management and remediation services [BS560]",4291451,1657041
2008,"Canada","Educational services [BS610]",467674,1657041
2008,"Canada","Health care and social assistance [BS620]",1026,1657041
2008,"Canada","Arts, entertainment and recreation [BS710]",1893584,1657041
2008,"Canada","Accommodation and food services [BS720]",7403910,1657041
2008,"Canada","Other services (except public administration) [BS810]",198926,1657041
2008,"Canada","Non-profit institutions serving households [NP000]",230386,1657041
2008,"Canada","Government education services [GS610]",1233314,1657041
2008,"Canada","Government health services [GS620]",384541,1657041
2008,"Canada","Other federal government services [GS911]",758218,1657041
2008,"Canada","Other provincial and territorial government services [GS912]",789806,1657041
2008,"Canada","Other municipal government services [GS913]",457958,1657041
2009,"Canada","Total industries",302366065,1571334
2009,"Canada","Crop and animal production [BS11A]",11845850,1571334
2009,"Canada","Forestry and logging [BS113]",276346,1571334
2009,"Canada","Fishing, hunting and trapping [BS114]",586952,1571334
2009,"Canada","Support activities for agriculture and forestry [BS115]",71491,1571334
2009,"Canada","Mining, quarrying, and oil and gas extraction [BS210]",63387946,1571334
2009,"Canada","Utilities [BS220]",2282145,1571334
2009,"Canada","Residential building construction [BS23A]",1060,1571334
2009,"Canada","Other activities of the construction industry [BS23E]",168886,1571334
2009,"Canada","Manufacturing [BS3A0]",129079309,1571334
2009,"Canada","Wholesale trade [BS410]",21715487,1571334
2009,"Canada","Retail trade [BS4A0]",275348,1571334
2009,"Canada","Transportation and warehousing [BS4B0]",21686637,1571334
2009,"Canada","Information and cultural industries [BS510]",5841127,1571334
2009,"Canada","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",8472977,1571334
2009,"Canada","Professional, scientific and technical services [BS540]",17068768,1571334
2009,"Canada","Administrative and support, waste management and remediation services [BS560]",6580125,1571334
2009,"Canada","Educational services [BS610]",428690,1571334
2009,"Canada","Health care and social assistance [BS620]",466,1571334
2009,"Canada","Arts, entertainment and recreation [BS710]",1802873,1571334
2009,"Canada","Accommodation and food services [BS720]",6232178,1571334
2009,"Canada","Other services (except public administration) [BS810]",169389,1571334
2009,"Canada","Non-profit institutions serving households [NP000]",207078,1571334
2009,"Canada","Government education services [GS610]",1219116,1571334
2009,"Canada","Government health services [GS620]",527601,1571334
2009,"Canada","Other federal government services [GS911]",1087307,1571334
2009,"Canada","Other provincial and territorial government services [GS912]",915228,1571334
2009,"Canada","Other municipal government services [GS913]",435686,1571334
2010,"Canada","Total industries",327270733,1666048
2010,"Canada","Crop and animal production [BS11A]",10572495,1666048
2010,"Canada","Forestry and logging [BS113]",368125,1666048
2010,"Canada","Fishing, hunting and trapping [BS114]",638302,1666048
2010,"Canada","Support activities for agriculture and forestry [BS115]",77137,1666048
2010,"Canada","Mining, quarrying, and oil and gas extraction [BS210]",75379238,1666048
2010,"Canada","Utilities [BS220]",2035464,1666048
2010,"Canada","Residential building construction [BS23A]",1174,1666048
2010,"Canada","Other activities of the construction industry [BS23E]",175736,1666048
2010,"Canada","Manufacturing [BS3A0]",141351797,1666048
2010,"Canada","Wholesale trade [BS410]",23029005,1666048
2010,"Canada","Retail trade [BS4A0]",250399,1666048
2010,"Canada","Transportation and warehousing [BS4B0]",22587135,1666048
2010,"Canada","Information and cultural industries [BS510]",5463008,1666048
2010,"Canada","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",8969314,1666048
2010,"Canada","Professional, scientific and technical services [BS540]",16068751,1666048
2010,"Canada","Administrative and support, waste management and remediation services [BS560]",6572239,1666048
2010,"Canada","Educational services [BS610]",456249,1666048
2010,"Canada","Health care and social assistance [BS620]",396,1666048
2010,"Canada","Arts, entertainment and recreation [BS710]",1706337,1666048
2010,"Canada","Accommodation and food services [BS720]",6561985,1666048
2010,"Canada","Other services (except public administration) [BS810]",158963,1666048
2010,"Canada","Non-profit institutions serving households [NP000]",217503,1666048
2010,"Canada","Government education services [GS610]",1335008,1666048
2010,"Canada","Government health services [GS620]",621765,1666048
2010,"Canada","Other federal government services [GS911]",1164381,1666048
2010,"Canada","Other provincial and territorial government services [GS912]",976611,1666048
2010,"Canada","Other municipal government services [GS913]",532214,1666048
2011,"Canada","Total industries",368471029,1774063
2011,"Canada","Crop and animal production [BS11A]",13411866,1774063
2011,"Canada","Forestry and logging [BS113]",503349,1774063
2011,"Canada","Fishing, hunting and trapping [BS114]",668245,1774063
2011,"Canada","Support activities for agriculture and forestry [BS115]",87226,1774063
2011,"Canada","Mining, quarrying, and oil and gas extraction [BS210]",94504318,1774063
2011,"Canada","Utilities [BS220]",2103782,1774063
2011,"Canada","Residential building construction [BS23A]",0,1774063
2011,"Canada","Other activities of the construction industry [BS23E]",196771,1774063
2011,"Canada","Manufacturing [BS3A0]",153961046,1774063
2011,"Canada","Wholesale trade [BS410]",24239016,1774063
2011,"Canada","Retail trade [BS4A0]",265670,1774063
2011,"Canada","Transportation and warehousing [BS4B0]",24517365,1774063
2011,"Canada","Information and cultural industries [BS510]",5804060,1774063
2011,"Canada","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",10681312,1774063
2011,"Canada","Professional, scientific and technical services [BS540]",17115313,1774063
2011,"Canada","Administrative and support, waste management and remediation services [BS560]",6454339,1774063
2011,"Canada","Educational services [BS610]",555683,1774063
2011,"Canada","Health care and social assistance [BS620]",187,1774063
2011,"Canada","Arts, entertainment and recreation [BS710]",1679869,1774063
2011,"Canada","Accommodation and food services [BS720]",6692846,1774063
2011,"Canada","Other services (except public administration) [BS810]",166907,1774063
2011,"Canada","Non-profit institutions serving households [NP000]",223164,1774063
2011,"Canada","Government education services [GS610]",1444408,1774063
2011,"Canada","Government health services [GS620]",559170,1774063
2011,"Canada","Other federal government services [GS911]",1238381,1774063
2011,"Canada","Other provincial and territorial government services [GS912]",867926,1774063
2011,"Canada","Other municipal government services [GS913]",528811,1774063
2012,"Canada","Total industries",369529144,1827201
2012,"Canada","Crop and animal production [BS11A]",14647341,1827201
2012,"Canada","Forestry and logging [BS113]",497687,1827201
2012,"Canada","Fishing, hunting and trapping [BS114]",699061,1827201
2012,"Canada","Support activities for agriculture and forestry [BS115]",83820,1827201
2012,"Canada","Mining, quarrying, and oil and gas extraction [BS210]",87203650,1827201
2012,"Canada","Utilities [BS220]",2014188,1827201
2012,"Canada","Residential building construction [BS23A]",0,1827201
2012,"Canada","Other activities of the construction industry [BS23E]",240574,1827201
2012,"Canada","Manufacturing [BS3A0]",155896092,1827201
2012,"Canada","Wholesale trade [BS410]",25585682,1827201
2012,"Canada","Retail trade [BS4A0]",292583,1827201
2012,"Canada","Transportation and warehousing [BS4B0]",25623743,1827201
2012,"Canada","Information and cultural industries [BS510]",6156185,1827201
2012,"Canada","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",11207991,1827201
2012,"Canada","Professional, scientific and technical services [BS540]",18438055,1827201
2012,"Canada","Administrative and support, waste management and remediation services [BS560]",6386199,1827201
2012,"Canada","Educational services [BS610]",615523,1827201
2012,"Canada","Health care and social assistance [BS620]",166,1827201
2012,"Canada","Arts, entertainment and recreation [BS710]",1703311,1827201
2012,"Canada","Accommodation and food services [BS720]",6941547,1827201
2012,"Canada","Other services (except public administration) [BS810]",176324,1827201
2012,"Canada","Non-profit institutions serving households [NP000]",239552,1827201
2012,"Canada","Government education services [GS610]",1594790,1827201
2012,"Canada","Government health services [GS620]",629953,1827201
2012,"Canada","Other federal government services [GS911]",1139068,1827201
2012,"Canada","Other provincial and territorial government services [GS912]",986492,1827201
2012,"Canada","Other municipal government services [GS913]",529566,1827201
2013,"Alberta","Total industries",93852306,342646
2013,"Alberta","Crop and animal production [BS11A]",4193477,342646
2013,"Alberta","Forestry and logging [BS113]",471,342646
2013,"Alberta","Fishing, hunting and trapping [BS114]",1828,342646
2013,"Alberta","Support activities for agriculture and forestry [BS115]",1683,342646
2013,"Alberta","Mining, quarrying, and oil and gas extraction [BS210]",61286892,342646
2013,"Alberta","Utilities [BS220]",51213,342646
2013,"Alberta","Other activities of the construction industry [BS23E]",44446,342646
2013,"Alberta","Manufacturing [BS3A0]",14504629,342646
2013,"Alberta","Wholesale trade [BS410]",2752458,342646
2013,"Alberta","Retail trade [BS4A0]",63843,342646
2013,"Alberta","Transportation and warehousing [BS4B0]",6503495,342646
2013,"Alberta","Information and cultural industries [BS510]",277711,342646
2013,"Alberta","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",636336,342646
2013,"Alberta","Professional, scientific and technical services [BS540]",1894844,342646
2013,"Alberta","Administrative and support, waste management and remediation services [BS560]",211317,342646
2013,"Alberta","Educational services [BS610]",54497,342646
2013,"Alberta","Health care and social assistance [BS620]",18,342646
2013,"Alberta","Arts, entertainment and recreation [BS710]",143430,342646
2013,"Alberta","Accommodation and food services [BS720]",852804,342646
2013,"Alberta","Other services (except public administration) [BS810]",34406,342646
2013,"Alberta","Non-profit institutions serving households [NP000]",21580,342646
2013,"Alberta","Government education services [GS610]",142031,342646
2013,"Alberta","Government health services [GS620]",29371,342646
2013,"Alberta","Other federal government services [GS911]",25687,342646
2013,"Alberta","Other provincial and territorial government services [GS912]",76408,342646
2013,"Alberta","Other municipal government services [GS913]",47118,342646
2013,"Alberta","Other aboriginal government services [GS914]",312,342646
2013,"British Columbia","Total industries",38179265,230981
2013,"British Columbia","Crop and animal production [BS11A]",810135,230981
2013,"British Columbia","Forestry and logging [BS113]",515541,230981
2013,"British Columbia","Fishing, hunting and trapping [BS114]",132106,230981
2013,"British Columbia","Support activities for agriculture and forestry [BS115]",433,230981
2013,"British Columbia","Mining, quarrying, and oil and gas extraction [BS210]",6563620,230981
2013,"British Columbia","Utilities [BS220]",385857,230981
2013,"British Columbia","Other activities of the construction industry [BS23E]",15671,230981
2013,"British Columbia","Manufacturing [BS3A0]",12736855,230981
2013,"British Columbia","Wholesale trade [BS410]",2717146,230981
2013,"British Columbia","Retail trade [BS4A0]",130353,230981
2013,"British Columbia","Transportation and warehousing [BS4B0]",5527529,230981
2013,"British Columbia","Information and cultural industries [BS510]",879246,230981
2013,"British Columbia","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",1339782,230981
2013,"British Columbia","Professional, scientific and technical services [BS540]",2845562,230981
2013,"British Columbia","Administrative and support, waste management and remediation services [BS560]",726287,230981
2013,"British Columbia","Educational services [BS610]",97718,230981
2013,"British Columbia","Health care and social assistance [BS620]",22,230981
2013,"British Columbia","Arts, entertainment and recreation [BS710]",313211,230981
2013,"British Columbia","Accommodation and food services [BS720]",1682519,230981
2013,"British Columbia","Other services (except public administration) [BS810]",45160,230981
2013,"British Columbia","Non-profit institutions serving households [NP000]",49503,230981
2013,"British Columbia","Government education services [GS610]",273541,230981
2013,"British Columbia","Government health services [GS620]",84386,230981
2013,"British Columbia","Other federal government services [GS911]",77261,230981
2013,"British Columbia","Other provincial and territorial government services [GS912]",121467,230981
2013,"British Columbia","Other municipal government services [GS913]",108353,230981
2013,"Canada","Total industries",386007244,1902247
2013,"Canada","Crop and animal production [BS11A]",16184160,1902247
2013,"Canada","Forestry and logging [BS113]",550286,1902247
2013,"Canada","Fishing, hunting and trapping [BS114]",541462,1902247
2013,"Canada","Support activities for agriculture and forestry [BS115]",7141,1902247
2013,"Canada","Mining, quarrying, and oil and gas extraction [BS210]",98532831,1902247
2013,"Canada","Utilities [BS220]",2648747,1902247
2013,"Canada","Residential building construction [BS23A]",0,1902247
2013,"Canada","Other activities of the construction industry [BS23E]",292751,1902247
2013,"Canada","Manufacturing [BS3A0]",156531346,1902247
2013,"Canada","Wholesale trade [BS410]",24146519,1902247
2013,"Canada","Retail trade [BS4A0]",490491,1902247
